name,id,primaryCuisineId,address,chainCode,chainName,chainMainCode,cuisines,heroImage,heroListingImage,latitude,longitude,minimumDeliveryTime,minimumDeliveryTimeUpperLimit,minimumDeliveryTimeLowerLimit,minimumOrderAmount,minimumPickupTime,postCode,rating,urlKey,reviewNumber,vendorPoints,webPath,legalName,tradeRegisterNumber,customerPhone,vertical,deliveryProvider,isActive,is_best_in_city,is_new,is_delivery_enabled,is_pickup_enabled,is_service_fee_enabled,is_test,is_promoted
Quick Chicken & Vegetables,86035,0,Plot#3 outside al manzar apartment inside road block 11 gulshan e Iqbal Karachi,,,,,https://images.deliveryhero.io/image/fd-pk/LH/qe6p-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/qe6p-listing.jpg,24.9219286,67.1032613,17030,180,160,0,10,75300,0,quick-chicken-and-vegetables,0,0,https://foodpanda.pk/restaurant/qe6p/quick-chicken-and-vegetables,UMM E HANI AQIB (ASAAN AC),+923405411950,+923405411950,"fruits_and_vegetables, groceries",platform_delivery,true,false,false,true,false,false,false,false
Quick Chicken & Vegetables,86035,0,Plot#3 outside al manzar apartment inside road block 11 gulshan e Iqbal Karachi,,,,,https://images.deliveryhero.io/image/fd-pk/LH/qe6p-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/qe6p-listing.jpg,24.9219286,67.1032613,17030,180,160,0,10,75300,0,quick-chicken-and-vegetables,0,0,https://foodpanda.pk/restaurant/qe6p/quick-chicken-and-vegetables,UMM E HANI AQIB (ASAAN AC),+923405411950,+923405411950,"fruits_and_vegetables, groceries",platform_delivery,true,false,false,true,false,false,false,false
Cafe Saba - DHA,51947,139,Plot number 10c main saba commercial dha phase 5,,,,"Beverages, Paratha, Pakistani, Tea & Coffee",https://images.deliveryhero.io/image/fd-pk/LH/l2bi-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/l2bi-listing.jpg,24.8017351,67.0371296,0,,,0,15,75500,4.5,cafe-saba-dha,869,12945,https://foodpanda.pk/restaurant/l2bi/cafe-saba-dha,MUHAMMAD NOOR,+923012641110,+923136441671,restaurants,dine_in,true,false,false,true,true,false,false,false
Cafe Saba - DHA,51947,139,Plot number 10c main saba commercial dha phase 5,,,,"Beverages, Paratha, Pakistani, Tea & Coffee",https://images.deliveryhero.io/image/fd-pk/LH/l2bi-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/l2bi-listing.jpg,24.8017351,67.0371296,0,,,0,15,75500,4.5,cafe-saba-dha,869,12945,https://foodpanda.pk/restaurant/l2bi/cafe-saba-dha,MUHAMMAD NOOR,+923012641110,+923136441671,restaurants,dine_in,true,false,false,true,true,false,false,false
TDC (The Dumpling Co),93542,74,"Building 8-C, 10th commercial lane zamzama, phase 5",,,,"Beverages, Desserts, Chinese",https://images.deliveryhero.io/image/fd-pk/LH/ht00-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/ht00-listing.jpg,24.81867409,67.03954315,17015,180,160,0,10,789009,2.8,tdc-the-dumpling-co,9,9557,https://foodpanda.pk/restaurant/ht00/tdc-the-dumpling-co,FOUZIA SIDDIQUI,+923458262666,+923458262666,home_based_kitchen,platform_delivery,true,false,false,true,false,false,false,false
TDC (The Dumpling Co),93542,74,"Building 8-C, 10th commercial lane zamzama, phase 5",,,,"Beverages, Desserts, Chinese",https://images.deliveryhero.io/image/fd-pk/LH/ht00-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/ht00-listing.jpg,24.81867409,67.03954315,17015,180,160,0,10,789009,2.8,tdc-the-dumpling-co,9,9557,https://foodpanda.pk/restaurant/ht00/tdc-the-dumpling-co,FOUZIA SIDDIQUI,+923458262666,+923458262666,home_based_kitchen,platform_delivery,true,false,false,true,false,false,false,false
Food Punch Karachi,80555,139,"House: G-607, Bhicaji Street, Cambridge appartment, near CIA CENTER SADDAR, Karachi.",cu5ch,Food Punch Karachi,eih3,"Beverages, Samosa, Savouries, Pakistani, Desserts, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/eih3-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/eih3-listing.jpg,24.8606649,67.0332387,17020,180,160,0,20,75290,3.9,food-punch-karachi-eih3,69,18476,https://foodpanda.pk/restaurant/eih3/food-punch-karachi-eih3,KHADIJA,+923312721804,+923312093260,"beverages, party_supplies, drinks, restaurants, convenience, snacks_and_sweets, bakery_and_dessert, home_based_kitchen",platform_delivery,true,false,false,true,false,false,false,false
Food Punch Karachi,80555,139,"House: G-607, Bhicaji Street, Cambridge appartment, near CIA CENTER SADDAR, Karachi.",cu5ch,Food Punch Karachi,eih3,"Beverages, Samosa, Savouries, Pakistani, Desserts, Fast Food",https://images.deliveryhero.io/image/fd-pk/LH/eih3-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/eih3-listing.jpg,24.8606649,67.0332387,17020,180,160,0,20,75290,3.9,food-punch-karachi-eih3,69,18476,https://foodpanda.pk/restaurant/eih3/food-punch-karachi-eih3,KHADIJA,+923312721804,+923312093260,"beverages, party_supplies, drinks, restaurants, convenience, snacks_and_sweets, bakery_and_dessert, home_based_kitchen",platform_delivery,true,false,false,true,false,false,false,false
Umer Chicken Centre,85785,0,Plot#C1 Block 4 Saadi Town Karachi,,,,,https://images.deliveryhero.io/image/fd-pk/LH/tf49-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/tf49-listing.jpg,24.9655523,67.1722577,0,,,0,15,75300,0,umer-chicken-centre,0,0,https://foodpanda.pk/restaurant/tf49/umer-chicken-centre,UMM E HANI AQIB (ASAAN AC),+923405411950,+923142548810,"butchery, fruits_and_vegetables, wet_market, groceries",platform_delivery,true,false,false,true,false,false,false,false
Umer Chicken Centre,85785,0,Plot#C1 Block 4 Saadi Town Karachi,,,,,https://images.deliveryhero.io/image/fd-pk/LH/tf49-hero.jpg,https://images.deliveryhero.io/image/fd-pk/LH/tf49-listing.jpg,24.9655523,67.1722577,0,,,0,15,75300,0,umer-chicken-centre,0,0,https://foodpanda.pk/restaurant/tf49/umer-chicken-centre,UMM E HANI AQIB (ASAAN AC),+923405411950,+923142548810,"butchery, fruits_and_vegetables, wet_market, groceries",platform_delivery,true,false,false,true,false,false,false,false
